customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_type,internet_service,internet_type,service_type_phone_internet,contract_type,contract_description,payment_type,monthly_charges,total_charges,churn,monthly_tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date_today_tenure,average_monthly_charges
0002-ORFBO,Female,0,Yes,Yes,1,One Line,1,DSL,3,1,1 Year,Mailed check,$65.60,$593.30,No,9,1,0,1,1,1,3,20211106,$65.60
0003-MKNFE,Male,0,No,No,2,Two or More Lines,1,DSL,3,0,Month-to-Month,Mailed check,$59.90,$542.40,No,9,0,0,1,1,1,0,20211106,$59.90
0004-TLHLJ,Male,0,No,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$73.90,$280.85,Yes,4,0,1,1,1,1,0,20211031,$73.90
0011-IGKFF,Male,1,Yes,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$98.00,"$1,237.85",Yes,13,0,1,1,1,1,1,20211109,$98.00
0013-EXCHZ,Female,1,Yes,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Mailed check,$83.90,$267.40,Yes,3,1,1,1,1,1,1,20211031,$83.90
0013-MHZWF,Female,0,No,Yes,1,One Line,1,DSL,3,0,Month-to-Month,Credit card (automatic),$69.40,$571.45,No,8,1,0,1,1,1,2,20211105,$69.40
0013-SMEOE,Female,1,Yes,No,1,One Line,2,Fiber Optic,3,2,2 Year,Bank transfer (automatic),$109.70,"$7,904.25",No,72,1,0,1,1,1,1,20220108,$109.70
0014-BMAQU,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Credit card (automatic),$84.65,"$5,377.80",No,64,0,0,1,1,1,1,20211230,$84.65
0015-UOCOJ,Female,1,No,No,1,One Line,1,DSL,3,0,Month-to-Month,Electronic check,$48.20,$340.35,No,7,1,0,1,1,1,0,20211104,$48.20
0016-QLJIS,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,3,2,2 Year,Mailed check,$90.45,"$5,957.90",No,66,1,0,1,1,1,3,20220101,$90.45
0017-DINOC,Male,0,No,No,0,No Phone Service,1,DSL,2,2,2 Year,Credit card (automatic),$45.20,"$2,460.55",No,54,0,0,0,1,0,0,20211221,$45.20
0017-IUDMW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Credit card (automatic),$116.80,"$8,456.75",No,72,1,0,1,1,1,3,20220108,$116.80
0018-NYROU,Female,0,Yes,No,1,One Line,2,Fiber Optic,3,0,Month-to-Month,Electronic check,$68.95,$351.50,No,5,1,0,1,1,1,1,20211102,$68.95
0019-EFAEP,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Bank transfer (automatic),$101.30,"$7,261.25",No,72,1,0,1,1,1,0,20220107,$101.30
0019-GFNTW,Female,0,No,No,0,No Phone Service,1,DSL,2,2,2 Year,Bank transfer (automatic),$45.05,"$2,560.10",No,57,1,0,0,1,0,0,20211223,$45.05
0020-INWCK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,3,2,2 Year,Credit card (automatic),$95.75,"$6,849.40",No,72,1,0,1,1,1,3,20220107,$95.75
